Course Number/Title,Instructor,Days,Beg Time,End Time,Bldg Room,Credits
CHM  121  02 General Chemistry I,S Ibrahim,MWF,2:00 PM,2:50 PM,Athletics and Recrea,1
CHM  121L 01 General Chemistry I Laboratory,S Noreuil,T,8:00 AM,10:50 AM,Peterson Hall,0
CHM  121L 02 General Chemistry I Laboratory,S Ibrahim,T,1:00 PM,3:50 PM,Peterson Hall,0
CHM  121L 03 General Chemistry I Laboratory,S Stoudt,R,8:00 AM,10:50 AM,Peterson Hall,0
CHM  121L 04 General Chemistry I Laboratory,C Stead,R,1:00 PM,3:50 PM,Peterson Hall,0
CHM  122  01 General Chemistry II,S Singleton,MWF,2:00 PM,2:50 PM,Athletics and Recrea,1
CHM  122L 01 General Chemistry II Laboratory,S Singleton,R,8:00 AM,10:50 AM,Peterson Hall,0
CHM  122L 02 General Chemistry II Laboratory,S Singleton,R,1:00 PM,3:50 PM,Peterson Hall,0
CHM  211  01 Analytical Chemistry,M St. Clair,MWF,8:00 AM,8:50 AM,Peterson Hall,1
CHM  211L 01W Analytical Chemistry Laboratory,M St. Clair,MW,2:00 PM,4:50 PM,Peterson Hall,0.5
CHM  321  01 Organic Chemistry II,S Stoudt,MWF,10:00 AM,10:50 AM,Athletics and Recrea,1
CHM  322  01 Organic Laboratory,S Stoudt,MWF,1:00 PM,3:50 PM,Peterson Hall,1
CHM  31  01W Physical Chemistry I,S Singleton,MWF,11:00 AM,11:50 AM,Peterson Hall,1
CHM  31L 01 Physical Chemistry I Laboratory,S Singleton,M,5:00 PM,7:50 PM,Peterson Hall,0
CHM  432  01 Protein Biochemistry,C Stead,MWF,2:00 PM,2:50 PM,Struve Comm Ctr,1
CHM  432L 01 Protein Biochemistry Laboratory,C Stead,R,8:00 AM,10:50 AM,Peterson Hall,0.2
CHM  474  01 Seminar in Chemistry II,S Stoudt,W,8:00 AM,8:50 AM,Peterson Hall,0.25
Classical Studies,,,,,,
CLA  120  01 Roman Civilization,J Langseth,MWF,1:00 PM,1:50 PM,Hickok Hall,1
Communication Studies,,,,,,
COM  125  01 Fundamentals of Public Speaking,A Spikes,TR,9:30 AM,10:50 AM,Hickok Hall,1
COM  125  02 Fundamentals of Public Speaking,A Spikes,TR,2:00 PM,3:20 PM,Hickok Hall,1
COM  157  01W Introduction to Media Analysis,S Harmsen,MWF,9:00 AM,9:50 AM,Struve Comm Ctr,1
COM  157  02W Introduction to Media Analysis,S Harmsen,MWF,1:00 PM,1:50 PM,Struve Comm Ctr,1
COM  161  01W Visual Rhetoric,T Donofrio,TR,12:30 PM,1:50 PM,Hickok Hall,1
COM  236  01W Intercultural Communication,D Pugh-Patton,MWF,8:00 AM,8:50 AM,Hickok Hall,1
COM  337  01W Persuasion,T Donofrio,TR,9:30 AM,10:50 AM,Hickok Hall,1
COM  457  01W SpecialTopicsMediaStdy:Afrofuturism,D Pugh-Patton,TR,11:00 AM,12:20 PM,Struve Comm Ctr,1
Course Number/Title,Instructor,Days,Beg Time,End Time,Bldg Room,Credits
Creative Writing,,,,,,
CRW  111  01 Literary Magazine Editing,M Salesses,M,5:00 PM,6:50 PM,Hickok Hall,0.2
CRW  112  01 Advanced Literary Magazine Editing,M Salesses,M,5:00 PM,6:50 PM,Hickok Hall,0.5
CRW  115  01W Exp CRW:Exploring Creative Writing,K Aspengren,TR,9:30 AM,10:50 AM,Hickok Hall,1
CRW  125  01W Introduction to Creative Writing,M LeMay-Lewis,MWF,10:00 AM,10:50 AM,Struve Comm Ctr,1
CRW  125  02W Introduction to Creative Writing,L McQueen,MWF,9:00 AM,9:50 AM,Hickok Hall,1
CRW  280  01W Poetry Workshop I,M LeMay-Lewis,MW,2:00 PM,3:20 PM,Hickok Hall,1
CRW  290  01W Fiction Workshop I,L McQueen,TR,2:00 PM,3:20 PM,Hickok Hall,1
CRW  355  01W Playwriting Workshop 2,K Aspengren,TR,12:30 PM,1:50 PM,Hickok Hall,1
CRW  390  01W Fiction Workshop II,L McQueen,TR,2:00 PM,3:20 PM,Hickok Hall,1
CRW  455  01W Playwriting Workshop 3,K Aspengren,TR,12:30 PM,1:50 PM,Hickok Hall,1
CRW  490  01W Fiction Workshop III,L McQueen,TR,2:00 PM,3:20 PM,Hickok Hall,1
CRW  492  01W Manuscript Workshop,K Aspengren,W,5:00 PM,6:50 PM,Hickok Hall,1
Computer Science,,,,,,
CS125  01 Introduction to Programming,S Hughes,MWF,12:00 PM,12:50 PM,Stuart Hall,1
CS125L  01 Introduction to Programming,S Hughes,R,2:00 PM,3:20 PM,Stuart Hall,0
CS125  02 Introduction to Programming,S Hughes,MWF,8:00 AM,8:50 AM,Stuart Hall,1
CS125L  02 Introduction to Programming,S Hughes,R,12:30 PM,2:00 PM,Stuart Hall,0
CS135  01 Data Structures,T Hostetler,MWF,12:00 PM,12:50 PM,Stuart Hall,1
CS215  01 Analysis of Algorithms,T Hostetler,MWF,9:00 AM,9:50 AM,Stuart Hall,1
CS220  01 Principles of Computer Systems,S Hughes,MWF,2:00 PM,2:50 PM,Stuart Hall,1
CS30  01 Programming Languages,T Hostetler,MWF,2:00 PM,2:50 PM,Stuart Hall,1
Dance,,,,,,
DAN  131  01 Dance-Ballet I,C Rezabek,TR,12:30 PM,1:50 PM,Mills Theater,0.2
Meets first 7 weeks,,,,,,
DAN  132  01 Dance-Ballet II,C Rezabek,TR,12:30 PM,1:50 PM,Mills Theater,0.2
Meets second 7 weeks,,,,,,
Data Science,,,,,,
DS100  01 Introduction to Data Science,M Stobb,MWF,9:00 AM,9:50 AM,Stuart Hall,1
DS230  01 Data-Centric Computing,S Hughes,MWF,10:00 AM,10:50 AM,Stuart Hall,1
DS315  01 Machine Learning,M Stobb,TR,11:00 AM,12:20 PM,Stuart Hall,1
Economics,,,,,,
ECO  175  01 Principles of Macroeconomics,R Eichhorn,MWF,8:00 AM,8:50 AM,Stuart Hall,1
ECO  175  02 Principles of Macroeconomics,R Eichhorn,MWF,9:00 AM,9:50 AM,Stuart Hall,1
ECO  175  03 Principles of Macroeconomics,D Westberg,MWF,12:00 PM,12:50 PM,Stuart Hall,1
ECO  215  01 Principles of Microeconomics,R Baranowski,MWF,9:00 AM,9:50 AM,Stuart Hall,1
ECO  215  02 Principles of Microeconomics,R Baranowski,MWF,10:00 AM,10:50 AM,Stuart Hall,1
ECO  225  01 Money & Banking,R Baranowski,MWF,12:00 PM,12:50 PM,Stuart Hall,1
ECO  237  01 Labor Economics,D Westberg,MWF,10:00 AM,10:50 AM,Stuart Hall,1
ECO  315  01 Intermediate Macroeconomic Theory,R Eichhorn,TR,8:00 AM,9:20 AM,Stuart Hall,1
ECO  336  01 Divergent Economic Growth,R Eichhorn,,12:00 AM,12:00 AM,Arranged,1
ECO  345  01 Intermediate Microeconomics,D Westberg,,12:00 AM,12:00 AM,Arranged,1
